obs_cancelamento;data_cancelamento
CADASTRO CANCELADO POR INADIMPLÊNCIA;16/03/2018
CLIENTE NÃO FOI INSTALADO;11/07/2018
Cliente solicitou cancelamento informando que havia contratado outro provedor por conveniência. Informou não haver insatisfação com o serviço prestado pela Telecab. ↵Ciente do financeiro e da pendência de remoção do equipamento.;15/09/2023
CLIENTE SOLICITOU CANCELAMENTO POR INSATISFAÇÃO, ESTAVA TENDO PROBLEMAS E TAMBÉM PRECISA DE UMA LINHA TELEFÔNICA. CONTRATOU OUTRO PROVEDOR. FOI OFERECIDO PARA VERIFICARMOS O PROBLEMA MAS A MESMA NÃO QUIS. TRATEI COM JULIANA, ESTÁ INFORMADA DO BOLETO PENDENTE.;31/08/2018
INADIMPLÊNCIA;11/08/2021
CLIENTE SOLICITOU CANCELAMENTO DEVIDO SEU ESPOSO ESTÁ TRABALHANDO PARA OUTRO PROVEDOR E GANHOU BENEFÍCIOS. INFORMOU NÃO TER INSATISFAÇÃO COM O SERVIÇO. INFORMADA DO PRAZO DE DOIS MESES PARA REATIVAÇÃO SEM TAXA.;25/05/2020
CANCELADO POR INADIMPLÊNCIA;23/12/2021
CANCELADO POR INADIMPLÊNCIA;12/09/2018
CLIENTE SOLICITOU CANCELAMENTO POIS FORAM FEITAS VÁRIAS VISITAS E O PROBELMA NÃO FOI NORMALIZADO. FOI INFORMADO PELO TÉCNICO QUE O PROBLEMA NA CONEXÃO DA CLIENTE SERIA NORMALIZADO APENAS COM MIGRAÇÃO PARA FIBRA QUE PASSOU NA LOCALIDADE MAS NÃO ESTÁ ATIVA NO MOMENTO. TENTEI CONTATO PARA TRATAR COM A CLIENTE MAS NÃO ATENDEU.↵↵FOI FEITO CONTATO VIA WPPE CONFIRMADO O CANCELAMENTO TEMPORÁRIO. A  MESMA IRÁ REATIVAR ASSIM QUE FOR POSSÍVEL REALIZAR A SUA MIGRAÇÃO QUE ESTÁ PREVISTA PARA FEVEREIRO.;04/01/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO INSATISFAÇÃO, FOI OFERECIDO VISITA MAS A MESMA NÃO QUIS PIS JÁ FORAM REALIZADAS MAS O PROBLEMA PERSISTE E JÁ REALIZOU A TROCA DE PROVEDOR.;10/05/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO INSATISFAÇÃO. FOI OFERECIDO VISITA TÉCNICA PARA VERIFICAÇÃO DO PROBLEMA, MAS NÃO ACEITOU. RELATOU QUE JÁ FORAM REALIZADOS, MAS QUE O PROBLEMA VOLTA A OCORRER. INFORMADA DO PRAZO DE 3 MESES PARA REINSTALAÇÃO SEM TAXA.;13/10/2020
CLIENTE NÃO FOI INSTALADO;25/07/2018
CANCELADO POR INADIMPLÊNCIA;10/10/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO INSATISFAÇÃO. O MESMO QUERIA A LIBRAÇÃO DO SERVIÇO MAS FOI INFORMADO PELO ATENDIMENTO QUE A LIBERAÇÃO SERIA POSSÍVEL APENAS MEDIANTE PAGAMENTOS DOS DOIS TÍTULOS EM ABERTO, TENTEI CONTATO PARA ACORDO MAS NÃO ATENDEU.;21/11/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO CONDIÇÕES FINANCEIRAS;16/04/2018
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE JANEIRO E FEVEREIRO.↵REMOVIDO ONU + ROTEADOR + FONTES;13/05/2024
CADASTRO CANCELADO DEVIDO MUDANÇA DE TITULARIDADE;07/03/2018
INADIMPLÊNCIA;15/07/2021
CANCELADO POR INADIMPLÊNCIA;10/06/2019
CANCELADO POR INADIMPLÊNCIA;18/05/2020
CLIENTE SOLICITOU CANCELAMENTO POIS MUDOU PARA A CASA DE SUA MÃE QUE JA TEM INTERNET VIVA, CASO RETORNE PARA SEU ENDEREÇO ENTRARÁ EM CONTATO PARA SOLICITAR REATIVAÇÃO.;10/01/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO INSATISFAÇÃO, FOI OFERECIDO A VISITA TÉCNICA MAS JÁ FORAM FEITAS, ASSIM COMO TAMBÉM JÁ FOI FEITA A TROCA DO EQUIPAMENTO MAS A CONEXÃO NÃO MELHORA. FOI OFERECIDO OS NOVOS PLANOS COM MAIO VELOCIDADE, TENTEI CONTATO MAS NÃO ATENDEU.;28/08/2019
CANCELADO POR INADIMPLÊNCIA;11/07/2019
cliente solicitou cancelamento por insatisfação no sinal informou que o técnico já foi em sua residencia e ↵não foi resolvido ofereci outro atendimento a mesma não aceitou optou pelo cancelamento.↵MULTA POR RESCISÃO DE CONTRATO DIVIDIDA EM 3 VEZES A PEDIDO DA CLIENTE E AUTORIZADO POR ROSANA.;23/05/2018
Realizado contato com o titular do contrato, cliente informa que que a pessoa que morava no endereço do cadastro foi embora pra São Paulo. Informou que não tem ninguém no local para utilizar o serviço. Ciente do prazo de 3 meses para ativação do contrato sem taxa de instalação.;17/12/2020
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE AGOSTO E SETEMBRO.↵NÃO REMOVIDO ONU + ROTEADOR + KIT BOX + 3 FONTES.;27/02/2024
Importado Cancelado do SGP;18/06/2019
Cancelamento Automático via Agendamento ID 38 -↵                        Serviço ID: 26208, Login: tc_jdm2↵                        ;05/02/2022
CANCELAMENTO POR INADIMPLÊNCIA;28/03/2022
CLIENTE SOLICITOU CANCELAMENTO POIS TERMINOU O TRABALHO QUE ESTAVA REALIZANDO NA CIDADE E ESTÁ INDO EMBORA. DEIXOU O EQUIPAMENTO NA LOJA E ASSINOU TERMO.;12/07/2018
CANCELADO POR INADIMPLÊNCIA;13/09/2018
CANCELADO POR INADIMPLÊNCIA;13/09/2018
CLIENTE SOLICITOU CANCELAMENTO DO SERVIÇO INFORMANDO MUDANÇA, QUESTIONADO A CLIENTE SE SERIA UMA MUDANÇA DE CIDADE OU BAIRRO, A MESMA INFORMOU QUE MUDOU DE CIDADE, NÃO INFORMOU QUAL CIDADE. OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO DO CONTRO. PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;18/12/2021
CANCELADO POR INADIMPLÊNCIA;31/08/2018
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA PARA OUTRA CIDADE, NO OUTRO ENDEREÇO O MESMO JÁ POSSUI UM PONTO.;13/11/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA DE CIDADE E NÃO ATENDEMOS NO LOCAL.;23/06/2020
CANCELADO POR INADIMPLÊNCIA;13/09/2018
Cliente solicitou cancelamento do contrato informando insatisfação com o serviço. Realizado contato com a mãe da titular, oferecido visita técnica mas a cliente informou que já contratou outra operadora. Cliente ciente da fatura cobrando proporcional de uso e do prazo de 3 meses para ativação do contrato sem taxa de instalação.;14/01/2021
CLIENTE SOLICITOU CANCELAMENTO DEVIDO NÃO UTILIZAR MUITO O SERVIÇO, E COMO ESTE PONTO É NO SEU ESTABELECIMENTO DE TRABALHO SEUS FUNCIONÁRIOS PERDEM MUITO TEMPO NO CELULAR RESOLVEU CANCELAR. OFERECI PARA REALIZARMOS A MUDANÇA DO SERVIÇO CASO QUISESSE UTILIZAR EM OUTRO ENDEREÇO MAS A MESMA DISSE QUE JÁ TEM INTERNET EM SUA RESIDÊNCIA. INFORMEI SOBRE O PRAZO DE 2 MESES PARA REINSTALAÇÃO SEM TAXA E DOS NOSSO NOVOS PLANOS. ↵↵CLIENTE CIENTE DA TAXA RESCISÓRIA DE 3 MESES RESTANTES PARA CUMPRIMENTO DA FIDELIDADE NO VALOR DE 71,88 DIVIDIDA EM DUAS PARCELAS.;28/11/2018
CLIENTE SOLICITOU CANCELAMENTO POIS ESTE PONTO ERA UM PONTO DE VENDAS, E DEVIDO UM ASSALTO RESOLVEU FECHAR. CHEGOU A ALUGAR O PONTO MAS A PESSOA RESPONSÁVEL TAMBÉM NÃO IRÁ CONTINUAR. DISSE QUE CASO TENHA INTERESSE EM UTILIZAR O SERVIÇO SOLICITARIA REATIVAÇÃO. INFORMEI TAMBÉM DO PRAZO PARA REATIVAÇÃO SEM TAXA.;05/10/2018
CLIENTE SOLICITOU CANCELAMENTO POR MOTIVO DE MUDANÇA POIS NÃO ATENDEMOS EM SEU NOVO ENDEREÇO. O ENDEREÇO DO CADASTRO PERTENCE A SOGRA E NÃO TEM INTERESSE DE ASSUMIR A TITULARIDADE POIS NÃO TEM CONDIÇÕES FINANCEIRAS.;18/07/2018
CADASTRO CANCELADO POR INADIMPLÊNCIA COM BOLETOS DE SETEMBRO E OUTUBRO;15/04/2024
CLIENTE SOLICITOU CANCELAMENTO DEVIDO ESTAR PRECISANDO DE UMA MAIOR VELOCIDADE E OS PLANOS VIA RÁDIO NÃO ATENDE SUAS NECESSIDADES. FOI VERIFICADO COM O ATENDIMENTO DE ASSU E NÃO ATENDEMOS FIBRA NA LOCALIDADE, COM PREVISÃO PARA MIGRAÇÕES ATÉ O FINAL DE DEZEMBRO DE 2018. INFORMEI AO CLIENTE TAMBÉM.;06/11/2018
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO MUDANÇA DE PROVEDOR, TENTEI CONTATO MAS NÃO ATENDEU.;16/03/2020
CANCELADO POR INADIMPLÊNCIA;08/08/2018
Cliente solicitou cancelamento do contrato o mesmo informou que vai se mudar de cidade porque foi transferido no trabalho;20/04/2018
EQUIPAMENTO REMOVIDO.;02/08/2022
CANCELADO POR INADIMPLÊNCIA;01/02/2019
CANCELADO POR INADIMPLÊNCIA;01/02/2019
CLIENTE SOLICITOU CANCELAMENTO POIS NÃO ATENDEMOS FIBRA EM SUA LOCALIDADE E ESTÁ PRECISANDO DE UMA MAIOR VELOCIDADE. ASSIM QUE FOR CABEADO PRETENDE REATIVAR. INFORMEI DO PRAZO PARA REATIVAÇÃO SEM TAXA.;11/02/2019
CANCELADO POR INADIMPLÊNCIA;27/09/2018
CLIENTE SOLICITOU CANCELAMENTO POIS MUDOU-SE PARA OUTRO ESTADO. NÃO CONSEGUI CONTATO CONTATO COM O CLIENTE. O EQUIPAMENTO JÁ HAVIA SIDO ENTREGUE NA LOJA.;15/02/2019
CANCELADO POR INADIMPLÊNCIA;08/01/2022
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA DE ENDEREÇO E NOVO LOCAL JA TEM INTERNET TELECAB.;02/01/2020
CLIENTE SOLICITOU CANCELAMENTO DEVIDO TA FECHANDO A LOJA, FOI OFERECIDO PARA REALIZARMOS A MUDANÇA PARA UM OUTRO LOCAL MAS O MESMO DISSE QUE JÁ UTILIZA O NOSSO SERVIÇO EM SUA RESIDÊNCIA NO NOME DE SUA ESPOSA, MAS CASO PRECISASSE REATIVAR ENTRARIA EM CONTATO CONOSCO. FOI INFORMADO DO PRAZO PRA REATIVAÇÃO SEM TAXA.;29/12/2018
CLIENTE SOLICITOU CANCELAMENTO EM LOJA, NÃO ESTAR MAIS UTILIZANDO O SERVIÇO DEVIDO FALECIMENTO DO ESPOSO.;08/04/2019
CLIENTE SOLICITA CANCELAMENTO, INFORMANDO INSATISFAÇÃO DO SERVIÇO.↵OFERECIDO VISITA TÉCNICA PARA REPARO DA CONEXÃO, MAS A MESMA ALEGA JÁ TER OUTRO PROVEDOR.↵CIENTE DO BOLETO DE MAIO, E DO PRAZO DE ATÉ 3 MESES PARA A REATIVAÇÃO SEM TAXA.↵GERADO O.S DE REMOÇÃO E TERMOS DE CANCELAMENTO.;05/05/2021
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE ABRIL E MAIO.↵EQUIPAMENTO NÂO REMOVIDO.;06/08/2024
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA PARA FORTALEZA.;03/02/2020
CANCELADO POR INADIMPLÊNCIA;03/11/2018
CLIENTE SOLICITOU CANCELAMENTO DEVIDO TER MUDADO DE BAIRRO E NÃO ATENDEMOS FIBRA, APENAS PLANOS VIA RÁDIO MAS A CLIENTE NÃO TEVE INTERESSE POIS É POUCA VELOCIDADE PARA SUA NECESSIDADE.;04/09/2018
CLIENTE SOLICITOU CANCELAMENTO DEVIDO TER SE MUDADO E NÃO TEMOS VISADA PARA ATENDER NO NOVO ENDEREÇO, INFORMOU QUE O TÉCNICO FOI AO LOCAL MAS NÃO TINHA COMO FORNECER UM BOM SERVIÇO.;08/06/2018
CLIENTE SOLICITOU CANCELAMENTO DO CONTRATO INFORMANDO MUDANÇA DE ESTADO. SEM PREVISÃO DE RETORNO PARA O ENDEREÇO. OFERECIDO ALTERAÇÃO NA TITULARIDADE, MAS O MESMO OPTOU PELO CANCELAMENTO. CIENTE DO FINANCEIRO E DO PRAZO DE 3 MESES PARA ATIVAÇÃO NO MESMO ENDEREÇO SEM TAXA DE INSTALAÇÃO.;23/04/2022
CLIENTE NÃO FOI INSTALADO;25/07/2018
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO QUE NÃO ESTÁ MAIS USANDO, NÃO VAI MAIS PRECISAR. QUESTIONEI SOBRE INSATISFAÇÃO E O MESMO DISSE QUE NÃO HAVIA. INFORMEI DO CANCELAMENTO TEMPORÁRIO E O MESMO FICOU DE ENTRAR EM CONTATO PARA REATIVAR CASO PRECISE.;08/08/2018
CANCELADO POR INADIMPLÊNCIA;14/11/2019
CLIENTE SOLICITOU CANCELAMENTO INFORMANDO QUE NÃO ESTÁ MAIS NO ENDEREÇO E NA NOVA LOCALIDADE NÃO ATENDEMOS FIBRA E NÃO TEM INTERESSE NOS PLANOS VIA RÁDIO. TENTEI CONTATO MAS NÃO CONSEGUI POR MEIO DO NUMERO INFORMADO. DEVIDO MOTIVO O CANCELAMENTO FOI REALIZADO.;11/02/2019
CANCELADO POR INADIMPLÊNCIA;10/08/2019
CLIENTE SOLICITOU CANCELAMENTO. TRATA-SE DE UM PONTO NA UNIVERSIDADE, E EM RAZÃO DA PANDEMIA ESTÁ SEM USO E SEM PREVISÃO PARA RETORNO.;19/06/2020
CLIENTE SOLICITOU CANCELAMENTO POR INSATISFAÇÃO, INFORMOU QUE FOI COBRADA UMA TAXA NO MOMENTO QUE A MESMA SOLICITOU UMA ALTERAÇÕES. FOI EXPLICADO A CLIENTE QUE A TAXA É COBRADA SOMENTE EM CASO ESPECÍFICO COMO DE MUDANÇA DE ENDEREÇO,  OU O VALOR É ALTERADO NA MENSALIDADE DEPENDENDO DO PLANO ESCOLHIDO, OU EM RELAÇÃO AO CASO DE VENCIMENTO. MAS QUE PARA MIGRAÇÃO É REALIZADA GRATUITA, FOI OFERECIDO E REPASSADO OS PLANOS FIBRA MAS A MESMA NÃO QUIS. OPTANDO PELO CANCELAMENTO.;19/11/2019
CLIENTE SOLICITOU CANCELAMENTO POIS ESTÁ SE MUDANDO E EM SEU NOVO ENDEREÇO NÃO ATENDEMOS NA FIBRA E NÃO TEM INTERESSE NO RÁDIO;28/08/2018
"SOLICITOU CANCELAMENTO INFORMANDO QUE ESTÁ INDO EMBORA PARA NATAL, FOI INFORMADA DO BOLETO PENDENTE ENVIADO POR WPP E A MESMA PEDIU PARA CANCELAR NA SEGUNDA DIA 09;07 QUE É QUANDO IRÁ REALIZAR A MUDANÇA.";10/07/2018
CANCELADO POR INADIMPLÊNCIA;06/05/2019
CANCELADO POR INADIMPLÊNCIA;31/08/2018
DESISTIU ATIVAÇÃO;23/05/2023
CLIENTE SOLICITOU CANCELAMENTO DEVIDO INSATISFAÇÃO, INFORMOU PROBLEMA PARA CONSEGUIR CONTATO COM A EMPRESA E TAMBÉM PROBLEMAS COM A VELOCIDADE QUE NÃO ATINGIA O PLANO CONTRATADO. FOI OFERECIDO UMA VISITA PARA SER VERIFICADO O PROBLEMA MAS O MESMO NÃO QUIS POIS JA FORAM REALIZADAS E JA CONTRATOU OUTRO PROVEDOR.;20/03/2019
CANCELADO POR INADIMPLÊNCIA;01/10/2018
CANCELADO POR INADIMPLÊNCIA;31/08/2018
MIGRADO PARA TELECAB;06/09/2019
CANCELADO POR INADIMPLÊNCIA;03/09/2018
CANCELADO POR INADIMPLÊNCIA;01/09/2018
CANCELADO POIS CLIENTE SOLICITOU REATIVAÇÃO DO OUTRO PONTO.;31/08/2018
CLIENTE SOLICITOU CANCELAMENTO POIS O MARIDO FOI DEMITIDO DA EMPRESA E NÃO VÃO CONTINUAR MAIS NA CIDADE;23/05/2018
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, VIA PLATAFORMA, INFORMANDO MUDANÇA. OFERECIDO REPARO COM VISITA TÉCNICA, TRANSFERÊNCIA, ALTERAÇÃO DE TITULARIDADE. MAS, O CLIENTE OPTA SOMENTE PELO CANCELAMENTO. CIENTE DO BOLETO, E DO PRAZO DE ATÉ 3 MESES.↵CIENTE DA REMOÇÃO DE EQUIPAMENTO.;21/07/2021
CLIENTE SOLICITOU CANCELAMENTO POIS MUDOU DE CIDADE, OFERECI PARA VERIFICAR SE ATENDÍAMOS EM SEU NOVO ENDEREÇO E AGENDAR A MUDANÇA DO SERVIÇO MAS A MESMA NÃO QUIS NO MOMENTO POIS PRECISA SE ORGANIZAR. NÃO CONSEGUI CONTATO POR LIGAÇÃO, FOI TRATADO POR WPP COM A TITULAR. A MESMA ESTÁ CIENTE DO BOLETO PENDENTE E FICOU DE SOLICITAR ATUALIZADO NO DIA DO PAGAMENTO.;14/08/2018
CANCELADO POR INADIMPLÊNCIA;27/09/2018
Cliente solicitou cancelamento do contrato informando que não deseja mais o serviço. Não atendeu as tentativas de contato do cancelamento. Realizado suspensão no contrato, mas a cliente não entrou em contato. Realizado cancelamento.;11/12/2020
Cliente solicitou cancelamento informando insatisfação. Foi proposta a transferência de titularidade, mas sem interesse por parte da cliente. Ciente do financeiro, do prazo de reativação do serviço no mesmo endereço, em até 3 meses com isenção de taxa e que o cancelamento só será concluído com a remoção do equipamento de sua residência.;08/09/2023
CLIENTE SOLICITOU CANCELAMENTO POIS ESTARÁ INDO EMBORA PARA NATAL, E NÃO HÁ NINGUÉM NO LOCAL PARA CONTINUAR COM O SERVIÇO. NÃO HOUVE INSATISFAÇÃO;06/08/2018
CLIENTE VIA PLATAFORMA DESEJA CANCELAMENTO DO SERVIÇO POIS MUDARÁ DE ENDEREÇO, NAO ACEITOU OFERTAS E NÃO TERÁ MAIS FINANCEIRO PENDENTE.;03/04/2024
SOLICITOU CANCELAMENTO DEVIDO PROBLEMAS FINANCEIROS, MAS NÃO ATENDEU AS TENTATIVAS DE CONTATO. O CANCELAMENTO FOI REALIZADO FICANDO PENDENTE O PROPORCIONAL DE JULHO.;10/07/2020
CLIENTE FOI ATIVO NO SGP DA VIVA;01/07/2020
CANCELADO POR INADIMPLÊNCIA;15/10/2018
CLIENTE SOLICITOU CANCELAMENTO TEMPORÁRIO DEVIDO NÃO ESTÁ NA CIDADE. PRETENDE REATIVAR QUANDO RETORNAR;06/04/2020
CLIENTE NÃO RETIDA. SOLICITOU CANCELAMENTO VIA PLATAFORMA POR MOTIVO PESSOAL. OFERTADA E NÃO ACEITA SUSPENSÃO TEMPORÁRIA. CIENTE DO FINACEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;01/07/2024
Importado Cancelado do SGP;18/04/2019
CANCELADO POR INADIMPLÊNCIA;25/06/2020
CANCELADO POR INADIMPLÊNCIA;07/01/2019
Cliente solicitou cancelamento do contrato informando que fechou o estabelecimento. Informou que não tem previsão pra reabrir o ponto. Foi oferecido transferência do contrato para outro endereço, mas a titular optou pelo cancelamento. Ficou ciente do prazo de 3 meses para ativação sem taxa de instalação.;14/04/2021
CANCELADO POR INADIMPLÊNCIA;08/01/2019
CLIENTE NÃO RETIDO. SOLCITOU CANCELAMENTO VIA PLATAFORMA POR MUDANÇA PARA LOCAL NÃO CABEADO. OFERTADA E NÃO ACEITA MUDANÇA DE TITULARIDADE. CIENTE DO FINANCEIRO E DA REMOÇÃO DOS EQUIPAMENTOS, FICOU DE ENTREGAR NO ESCRITÓRIO.;20/05/2024
CLIENTE SOLICITOU CANCELAMENTO.O ESCPOSO DA TITULAR (ANTONIO) INFORMOU QUE NO MOMENTO NÃO ESTÃO NA LOCALIDADE, E ASSIM NÃO ESTÁ HAVENDO USO DO SERVIÇO, MAS PRETENDEM REATIVAR QUANDO RETORNAR.↵↵INFORMADO DO PRAZO DE DOIS MESES PARA REATIVAÇÃO SEM TAXA.;13/06/2020
CANCELADO POR INADIMPLÊNCIA;03/09/2018
MIGRADO PARA TELECAB;01/10/2019
CANCELADO POR INADIMPLÊNCIA;26/09/2018
CANCELADO POR INADIMPLÊNCIA;03/11/2018
CLIENTE SOLICITOU CANCELAMENTO POIS SAIU DA CIDADE E ESTÁ ATUALMENTE RESIDINDO EM OUTRO ESTADO. QUESTIONEI SE HAVIA ALGUÉM COM INTERESSE EM ASSUMIR A TITULARIDADE DO CADASTRO E A MESMA DISSE QUE O ATUAL MORADOR DO ENDEREÇO DO CADASTRO ENTRARIA EM CONTATO PARA FAZER UM NOVO CONTRATO.;25/09/2018
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA PARA NATAL. VERIFICADO MAS NÃO PERMANECE NINGUÉM NO LOCAL COM INTERESSE EM CONTINUAR UTILIZANDO O SERVIÇO.;27/01/2020
CANCELADO POR INADIMPLÊNCIA;06/05/2019
CANCELADO POR INADIMPLÊNCIA;03/09/2018
CLIENTE SOLICITOU CANCELAMENTO POIS ESSE PONTO QUEM UTILIZAVA ERA A MÃE DA TITULAR E ELA SE MUDOU PARA O ENDEREÇO DO OUTRO PONTO, ENTÃO NÃO ESTÁ TENDO MAIS USO.;17/09/2018
CANCELADO POR INADIMPLÊNCIA;30/11/2018
CANCELADO POR INADIMPLÊNCIA;27/09/2018
EQUIPAMENTO REMOVIDO.;08/02/2023
CANCELADO POR INADIMPLÊNCIA;10/10/2019
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, INFORMANDO MUDANÇA PARA NATAL. O MESMO DEIXOU O EQUIPAMENTO EM LOJA. ABERTA OS PARA A REMOÇÃO E TERMOS PELAS ATENDENTES. CLIENTE CIENTE DOS BOLETOS E PRAZO.;16/09/2021
CANCELADO POR INADIMPLÊNCIA;08/01/2019
CANCELADO POR INADIMPLÊNCIA;05/04/2019
CANCELADO POR INADIMPLÊNCIA;07/12/2018
CLIENTE SOLICITOU CANCELAMENTO DEVIDO MUDANÇA, FOI OFERECIDO A TRANSFERÊNCIA DO SERVIÇO MAS O MESMO NÃO VAI REALIZAR NO MOMENTO POIS NO APARTAMENTO JÁ TEM INTERNET INCLUSA. INFORMEI DO PRAZO DE DOIS MESES PARA REATIVAÇÃO SEM TAXA.;27/05/2019
CLIENTE SOLICITOU CANCELAMENTO DEVIDO PROBLEMAS FINANCEIROS. FOI OFERECIDO DESCONTO NA MENSALIDADE DE NOVEMBRO MAS A CLIENTE NÃO ACEITOU POIS ESTÁ SEM CONDIÇÕES PARA MANTER. PRETENDE REATIVAR ASSIM QUE POSSÍVEL.;26/11/2019
EQUIPAMENTO REMOVIDO.;22/06/2022
CANCELADO POR INADIMPLÊNCIA;01/12/2018
DESISTIU DO PONTO;15/12/2018
CLIENTE VIA PLATAFORMA PEDE CANCELAMENTO E RECUSOU A INFORMAR O MOTIVO, OFERTADO MUDANÇA DE TITULARIDADE PORÉM NÃO ESTÁ ABERTO A OFERTA, CIENTE DO PROPORCIONAL.;29/01/2024
Importado Cancelado do SGP;05/07/2021
MIGRADO PARA TELECAB;13/09/2019
CANCELADO POR INADIMPLÊNCIA;15/10/2018
CANCELADO POR INADIMPLÊNCIA;01/02/2019
CLIENTE SOLICITOU CANCELAMENTO POR INSATISFAÇÃO, FOI OFERECIDO PARA VERIFICARMOS O PROBLEMAS, MAS NÃO QUIS E DISSE NÃO TER INTERESSE EM NENHUMA PROPOSTA. ↵↵INFORMADA DO PRAZO DE DOIS MESES PARA REATIVAÇÃO SEM TAXA.;14/02/2020
CANELADO POR INADIMPLÊNCIA;18/05/2020
CANCELADO POR INADIMPLÊNCIA;30/11/2018
INADIMPLÊNCIA;08/07/2021
Cliente solicitou cancelamento, informou mudança para outra cidade, disse que já tinha instalado internet de outro provedor, foi perguntado se tinha alguém com interesse no endereço atual em continuar com os nossos serviços, mas a cliente informou que não tinha e solicitou o cancelamento. Foi informado que se a cliente tivesse interesse em retornar, dentro de 3 meses a instalação seria grátis, informado também do boleto em aberto no sistema referente ao proporcional dos dias de uso, informado para cliente e para a mãe da mesma, que solicitou o envio do boleto via e-mail.;12/01/2021
Cliente solicitou cancelamento informando mudança de endereço para Natal. A cliente já tinha 1 titulo com valor integral e outro com valor proporcional em aberto. Ciente do financeiro e da pendência de remoção do equipamento.;11/08/2023
CANCELADO POR INADIMPLÊNCIA;15/06/2020
CLIENTE DESEJA CANCELAMENTO DO CONTRATO POIS MUDOU DE PROVEDORA, NÃO SE ABRIU A OFERTAS POIS JÁ INSTALOU, NÃO ACEITOU MUDANÇA DE TITULARIDADE.;20/02/2024
CLIENTE SOLICITA CANCELAMENTO DE CADASTRO, INFORMANDO INSATISFAÇÃO COM A CONEXÃO - ALEGANDO ESTÁ COM OUTRO PROVEDOR. OFERECIDO REPARO COM VISITA TÉCNICA, TRANSFERÊNCIA, ALTERAÇÃO DE TITULARIDADE. MAS, O CLIENTE OPTA SOMENTE PELO CANCELAMENTO. CIENTE DO BOLETO, E DO PRAZO DE ATÉ 3 MESES.↵CIENTE DA REMOÇÃO DE EQUIPAMENTO.;28/09/2021
CANCELADO POR INADIMPLÊNCIA;11/03/2019
CANCELADO POR INADIMPLÊNCIA;11/07/2019
CANCELADO POR INADIMPLÊNCIA;26/12/2018
CANCELADO POR INADIMPLÊNCIA;16/11/2018
Cliente solicita cancelamento do contrato informando insatisfação com o serviço e com o atendimento. Foi oferecido ao cliente visita técnica  e ligação do suporte, mas o cliente optou pelo cancelamento.  Ciente da fatura em aberto.;22/12/2020
CANCELADO POR INADIMPLÊNCIA;17/03/2022
CANCELADO POR INADIMPLÊNCIA;17/07/2020
Cliente solicitou cancelamento do contrato informando que fechou o escritório devido a pandemia. Foi oferecido ao cliente transferência do contrato para outro endereço, mas o titular informou que já tem nossos serviços instalados. Foi oferecido suspensão temporária de três meses o e titular aceitou. Ficou ciente das faturas em aberto e prazo de 3 meses para ativação sem taxa.;11/03/2021
CANCELADO POR INADIMPLÊNCIA REFERENTE AO MÊS DE NOVEMBRO E DEZEMBRO E JANEIRO;30/03/2024
CLIENTE NÃO RETIDA. SOLICITOU CANCELAMENTO VIA PLATAFORMA POR MUDANÇA DE ENDEREÇO. OFERTADA E NÃO ACEITA MUDANÇA DE TITULARIDADE. CIENTE DO FINACEIRO E DA REMOÇÃO DOS EQUIPAMENTOS.;03/07/2024
CANCELADO POR INADIMPLÊNCIA;08/02/2019
CLIENTE NÃO FOI INSTALADO;24/08/2018
CANCELADO POR INADIMPLÊNCIA;03/04/2019
CANCELADO POR INADIMPLÊNCIA;09/08/2019
Cliente solicitou cancelamento do contrato informando questões pessoais. Ficou ciente da fatura no valor cheio e proporcional de uso e do prazo de 3 meses para ativação do contrato do serviço sem taxa de instalação.;24/12/2020
EQUIPAMENTO REMOVIDO.;04/07/2022
CANCELADO POR INADIMPLÊNCIA REFERENTE AOS MESES DE OUTUBRO E NOVEMBRO.;14/03/2024
DESISTENCIA;16/08/2018
CLIENTE SOLICITA CANCELAMENTO, INFORMANDO INSATISFAÇÃO. TENTATIVAS DE CONTATO SEM SUCESSO. PARA PAGAMENTO, SOMENTE O CONSUMO DE JULHO. PRAZO DE ATÉ 3 MESES.;26/06/2021
CANCELADO POR INADIMPLÊNCIA;08/11/2018
CANCELADO POR INADIMPLÊNCIA;10/12/2018
cancelamento por inadimplência.;31/03/2021
